ID,Week,Show Name,Theatre,Gross,Potential Gross,Gross Diff,Avg Ticket Price,Top Ticket Price,Seats Sold,Seats in the Theatre,Performances,Previews,Capacity,Capacity Diff,Month,Season
20190024,01/06/19,The Cher Show,Neil Simon Theatre,1095626.9,1491200,-277987.1,106.3,247,10307,1380,8,0,0.93,0.03,1,Winter
20190025,01/06/19,The Ferryman,Bernard B. Jacobs Theatre,781247.22,994184,-256200.18,105.37,297,7414,1019,8,0,0.91,-0.06,1,Winter
20190026,01/06/19,The Lifespan of a Fact,Studio 54,902522,1079264,-160280.8,117.23,247,7699,1004,8,0,0.96,0,1,Winter
20190027,01/06/19,The Lion King,Minskoff Theatre,2468269,2471136,-1228705,183.95,225,13418,1696,8,0,0.99,-0.01,1,Winter
20190028,01/06/19,The Phantom of the Opera,Majestic Theatre,1208964.8,1347562,-882565.46,111.29,247,10863,1605,8,0,0.85,-0.14,1,Winter
20190029,01/06/19,The Play That Goes Wrong,Lyceum Theatre,497220.5,677688,-126193.5,82.42,197,6033,854,8,0,0.88,-0.09,1,Winter
20190030,01/06/19,The Prom,Longacre Theatre,617817.45,1102800,-318764.15,86.54,247,7139,1045,8,0,0.85,-0.09,1,Winter
20190031,01/06/19,The Waverly Gallery,John Golden Theatre,345186,664243,-117813.5,70.95,273,4865,787,7,0,0.88,0.01,1,Winter
20190032,01/06/19,To Kill A Mockingbird,Sam S. Shubert Theatre,1585250.28,1386070,-116433.31,135.87,497,11667,1435,8,0,1.02,0,1,Winter
20190033,01/06/19,Torch Song,Helen Hayes Theater,276173.4,648712,31577.4,69.04,248,4000,585,8,0,0.85,0.15,1,Winter
20190034,01/06/19,True West,American Airlines Theatre,418005.5,678370,139278.6,85.82,350,4871,740,0,7,0.94,-0.04,1,Winter
20190035,01/06/19,Waitress,Brooks Atkinson Theatre,539472,1019480,-461246.2,97.91,270,5510,1045,8,0,0.66,-0.25,1,Winter
20190036,01/06/19,Wicked,Gershwin Theatre,2040256,1779845,-1371563,135.49,240,15058,1926,8,0,0.98,-0.02,1,Winter
20190037,01/13/19,Aladdin,New Amsterdam Theatre,1187766.5,1487731,-446236.5,91.54,215.5,12975,1727,8,0,0.94,-0.05,1,Winter
20190038,01/13/19,American Son,Booth Theatre,654674.55,888864,91102.6,115.04,248,5691,774,8,0,0.92,0.04,1,Winter
20190039,01/13/19,Anastasia,Broadhurst Theatre,645727.7,1093588,-139473.4,87.78,273,7356,1143,8,0,0.8,-0.11,1,Winter
20190040,01/13/19,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,604651.5,1106908,-19039.7,87.11,247,6941,1026,8,0,0.85,-0.03,1,Winter
20190041,01/13/19,Chicago,Ambassador Theatre,521475.1,967724,-173711.26,81.77,187,6377,1080,8,0,0.74,-0.06,1,Winter
